,Dt_Customer_tmp,age,Year_Birth,Dt_Customer,Year_Birth,holiday
67,3-,42,1979,19-03-2014,1979,0
68,9-,63,1958,27-09-2013,1958,0
69,4-,51,1970,08-04-2013,1970,0
70,9-,67,1954,11-09-2012,1954,0
71,9-,48,1973,14-09-2012,1973,0
72,3-,62,1959,17-03-2013,1959,0
73,4-,46,1975,05-04-2013,1975,0
74,4-,69,1952,30-04-2014,1952,0
75,2-,44,1977,19-12-2012,1977,0
76,8-,49,1972,27-08-2012,1972,0
77,0-,45,1976,12-10-2012,1976,0
78,9-,45,1976,04-09-2013,1976,0
79,1-,56,1965,02-01-2013,1965,0
80,8-,36,1985,29-08-2012,1985,0
81,6-,52,1969,23-06-2013,1969,0
82,7-,48,1973,03-07-2013,1973,0
83,5-,58,1963,11-05-2013,1963,0
84,2-,34,1987,25-02-2014,1987,0
85,8-,61,1960,11-08-2013,1960,0
86,7-,51,1970,16-07-2013,1970,0
87,5-,64,1957,28-05-2014,1957,0
88,5-,48,1973,12-05-2014,1973,0
89,1-,54,1967,21-01-2014,1967,0
90,1-,64,1957,19-11-2012,1957,0
91,5-,64,1957,27-05-2014,1957,0
92,1-,48,1973,23-11-2013,1973,0
93,3-,49,1972,23-03-2014,1972,0
94,5-,51,1970,24-05-2014,1970,0
95,5-,38,1983,22-05-2014,1983,0
96,1-,61,1960,22-11-2012,1960,0
97,4-,49,1972,11-04-2013,1972,0
98,2-,70,1951,01-12-2013,1951,0
99,6-,38,1983,20-06-2013,1983,0
100,7-,61,1960,23-07-2013,1960,0
101,3-,62,1959,30-03-2014,1959,0
102,4-,42,1979,20-04-2013,1979,0
103,5-,76,1945,17-05-2013,1945,0
104,5-,62,1959,08-05-2014,1959,0
105,2-,42,1979,10-12-2013,1979,0
106,9-,57,1964,24-09-2013,1964,0
107,2-,52,1969,02-02-2013,1969,0
108,2-,43,1978,19-12-2012,1978,0
109,2-,61,1960,07-12-2012,1960,0
110,1-,42,1979,02-11-2013,1979,0
111,1-,30,1991,10-11-2012,1991,0
112,6-,58,1963,25-06-2014,1963,0
113,1-,30,1991,02-01-2013,1991,0
114,2-,41,1980,12-12-2012,1980,0
115,9-,59,1962,10-09-2013,1962,0
116,1-,51,1970,24-01-2014,1970,0
117,2-,43,1978,19-02-2013,1978,0
118,7-,54,1967,11-07-2013,1967,0
119,1-,52,1969,14-11-2013,1969,0
120,6-,68,1953,20-06-2013,1953,0
121,2-,54,1967,24-02-2014,1967,0
122,9-,36,1985,04-09-2013,1985,0
123,4-,45,1976,22-04-2013,1976,0
124,3-,38,1983,12-03-2013,1983,0
125,2-,56,1965,18-02-2013,1965,0
126,4-,37,1984,21-04-2013,1984,0
127,6-,68,1953,08-06-2014,1953,0
128,7-,60,1961,11-07-2013,1961,0
129,5-,65,1956,10-05-2014,1956,0
130,9-,69,1952,30-09-2013,1952,0
131,3-,63,1958,10-03-2013,1958,0
132,2-,52,1969,10-02-2014,1969,0
133,8-,58,1963,11-08-2013,1963,0
134,8-,57,1964,14-08-2013,1964,0
135,3-,54,1967,17-03-2013,1967,0
136,8-,45,1976,08-08-2012,1976,0
137,7-,62,1959,07-07-2013,1959,0
138,5-,48,1973,19-05-2014,1973,0
139,7-,56,1965,28-07-2013,1965,0
140,0-,29,1992,19-10-2012,1992,0
141,1-,45,1976,14-11-2013,1976,0
142,4-,59,1962,19-04-2013,1962,0
143,8-,47,1974,28-08-2013,1974,0
144,3-,33,1988,19-03-2013,1988,0
145,0-,45,1976,18-10-2012,1976,0
146,0-,46,1975,28-10-2012,1975,0
147,8-,40,1981,28-08-2013,1981,0
148,8-,48,1973,22-08-2012,1973,0
149,6-,55,1966,21-06-2014,1966,0
150,4-,68,1953,24-04-2014,1953,0
151,3-,52,1969,07-03-2014,1969,0
152,2-,49,1972,14-12-2012,1972,0
153,5-,33,1988,12-05-2014,1988,0
154,0-,69,1952,09-10-2012,1952,0
155,2-,72,1949,19-02-2013,1949,0
156,7-,63,1958,08-07-2013,1958,0
157,9-,43,1978,12-09-2013,1978,0
158,0-,44,1977,17-10-2013,1977,0
159,8-,66,1955,20-08-2013,1955,0
160,7-,63,1958,01-07-2013,1958,0
161,1-,76,1945,05-11-2012,1945,0
162,1-,37,1984,05-01-2014,1984,0
163,5-,46,1975,01-05-2013,1975,0
164,3-,48,1973,01-03-2014,1973,0
165,1-,55,1966,13-11-2013,1966,0
166,1-,68,1953,18-11-2013,1953,0
167,8-,62,1959,28-08-2013,1959,0
168,1-,33,1988,02-11-2013,1988,0
169,2-,64,1957,25-02-2014,1957,0
170,4-,56,1965,21-04-2014,1965,0
171,7-,39,1982,13-07-2013,1982,0
172,4-,51,1970,21-04-2014,1970,0
173,1-,62,1959,30-01-2014,1959,0
174,4-,54,1967,04-04-2014,1967,0
175,9-,46,1975,12-09-2012,1975,0
176,2-,73,1948,16-12-2012,1948,0
177,5-,51,1970,23-05-2014,1970,0
178,6-,62,1959,24-06-2014,1959,0
179,2-,70,1951,01-12-2013,1951,0
180,5-,45,1976,11-05-2014,1976,0
181,5-,33,1988,10-05-2014,1988,0
182,9-,75,1946,28-09-2013,1946,0
183,1-,37,1984,22-01-2014,1984,0
184,6-,60,1961,15-06-2014,1961,0
185,2-,38,1983,05-12-2012,1983,0
186,3-,51,1970,08-03-2014,1970,0
187,8-,55,1966,02-08-2013,1966,0
188,3-,45,1976,19-03-2013,1976,0
189,2-,57,1964,23-02-2013,1964,0
190,9-,43,1978,09-09-2012,1978,0
191,5-,32,1989,17-05-2013,1989,0
192,9-,121,1900,26-09-2013,1900,0
193,5-,33,1988,30-05-2013,1988,0
194,2-,48,1973,18-02-2013,1973,0
195,2-,44,1977,29-12-2013,1977,0
196,5-,41,1980,13-05-2014,1980,0
197,9-,67,1954,19-09-2013,1954,0
198,1-,67,1954,17-01-2013,1954,0
199,3-,48,1973,31-03-2014,1973,0
200,6-,69,1952,29-06-2014,1952,0
201,2-,53,1968,09-12-2013,1968,0
202,0-,43,1978,14-10-2013,1978,0
203,1-,44,1977,02-11-2012,1977,0
204,7-,56,1965,17-07-2013,1965,0
205,1-,37,1984,10-11-2012,1984,0
206,2-,33,1988,08-12-2013,1988,0
207,5-,58,1963,13-05-2013,1963,0
208,6-,55,1966,08-06-2014,1966,0
209,9-,67,1954,10-09-2012,1954,0
210,3-,65,1956,31-03-2013,1956,0
211,3-,67,1954,18-03-2014,1954,0
212,0-,53,1968,05-10-2012,1968,0
213,1-,47,1974,21-01-2013,1974,0
214,5-,36,1985,04-05-2013,1985,0
215,4-,44,1977,01-04-2014,1977,0
216,5-,43,1978,12-05-2014,1978,0
217,1-,73,1948,15-11-2013,1948,0
218,8-,67,1954,31-08-2013,1954,0
219,1-,41,1980,14-11-2012,1980,0
220,4-,33,1988,11-04-2014,1988,0
221,1-,52,1969,14-11-2013,1969,0
222,4-,51,1970,14-04-2014,1970,0
223,1-,41,1980,05-01-2013,1980,0
224,9-,59,1962,08-09-2012,1962,0
225,3-,43,1978,26-03-2013,1978,0
226,0-,45,1976,25-10-2012,1976,0
227,2-,69,1952,09-12-2012,1952,0
228,8-,49,1972,08-08-2012,1972,0
229,2-,35,1986,16-02-2014,1986,0
230,3-,55,1966,20-03-2013,1966,0
231,1-,59,1962,05-01-2013,1962,0
232,5-,50,1971,15-05-2013,1971,0
233,4-,70,1951,16-04-2014,1951,0
234,3-,56,1965,23-03-2013,1965,0
235,2-,46,1975,09-12-2013,1975,0
236,2-,39,1982,04-12-2013,1982,0
237,0-,63,1958,04-10-2013,1958,0
238,2-,48,1973,26-12-2013,1973,0
239,5-,128,1893,17-05-2014,1893,0
240,0-,53,1968,28-10-2013,1968,0
241,2-,63,1958,23-12-2012,1958,0
242,7-,50,1971,31-07-2013,1971,0
243,1-,31,1990,28-11-2013,1990,0
244,8-,63,1958,17-08-2012,1958,0
245,6-,57,1964,05-06-2014,1964,0
246,5-,49,1972,20-05-2013,1972,0
247,1-,68,1953,09-01-2013,1953,0
248,8-,33,1988,31-08-2012,1988,0
249,0-,52,1969,29-10-2012,1969,0
250,9-,46,1975,16-09-2013,1975,0
251,0-,36,1985,27-10-2013,1985,0
252,4-,47,1974,05-04-2013,1974,0
253,9-,63,1958,22-09-2012,1958,0
254,8-,54,1967,29-08-2012,1967,0
255,0-,47,1974,13-10-2012,1974,0
256,0-,60,1961,16-10-2012,1961,0
257,0-,57,1964,22-10-2012,1964,0
258,6-,57,1964,04-06-2013,1964,0
259,2-,64,1957,08-12-2013,1957,0
260,0-,42,1979,10-10-2012,1979,0
261,5-,53,1968,22-05-2013,1968,0
262,6-,51,1970,17-06-2014,1970,0
263,1-,43,1978,23-11-2012,1978,0
264,2-,69,1952,03-02-2013,1952,0
265,3-,55,1966,14-03-2013,1966,0
266,6-,58,1963,26-06-2014,1963,0
267,0-,51,1970,15-10-2012,1970,0
268,6-,51,1970,19-06-2013,1970,0
269,0-,51,1970,04-10-2013,1970,0
270,9-,68,1953,22-09-2012,1953,0
271,3-,38,1983,20-03-2014,1983,0
272,2-,46,1975,04-02-2014,1975,0
273,4-,61,1960,06-04-2014,1960,0
274,2-,58,1963,06-02-2013,1963,0
275,9-,58,1963,16-09-2013,1963,0
276,1-,65,1956,17-01-2013,1956,0
277,4-,40,1981,30-04-2014,1981,0
278,4-,35,1986,02-04-2013,1986,0
279,4-,53,1968,21-04-2013,1968,0
280,2-,40,1981,11-02-2013,1981,0
281,0-,45,1976,25-10-2012,1976,0
282,8-,75,1946,31-08-2012,1946,0
283,3-,47,1974,01-03-2014,1974,0
284,4-,46,1975,17-04-2014,1975,0
285,7-,47,1974,12-07-2013,1974,0
286,1-,69,1952,29-01-2013,1952,0
287,1-,65,1956,08-01-2013,1956,0
288,5-,55,1966,12-05-2014,1966,0
289,6-,72,1949,13-06-2013,1949,0
290,7-,37,1984,04-07-2013,1984,0
291,2-,52,1969,27-12-2013,1969,0
292,0-,41,1980,31-10-2012,1980,0
293,1-,50,1971,15-01-2014,1971,0
294,3-,56,1965,12-03-2013,1965,0
295,8-,69,1952,23-08-2012,1952,0
296,3-,33,1988,07-03-2013,1988,0
297,1-,35,1986,13-01-2013,1986,0
298,1-,39,1982,12-01-2013,1982,0
299,3-,56,1965,17-03-2014,1965,0
300,4-,63,1958,16-04-2014,1958,0
301,0-,65,1956,12-10-2013,1956,0
302,3-,43,1978,01-03-2014,1978,0
303,4-,33,1988,13-04-2014,1988,0
304,2-,37,1984,27-12-2013,1984,0
305,3-,60,1961,28-03-2013,1961,0
306,9-,55,1966,18-09-2012,1966,0
307,3-,74,1947,05-03-2014,1947,0
308,9-,57,1964,10-09-2013,1964,0
309,4-,29,1992,27-04-2013,1992,0
310,1-,45,1976,18-01-2014,1976,0
311,0-,54,1967,28-10-2013,1967,0
312,6-,32,1989,03-06-2013,1989,0
313,2-,45,1976,06-02-2013,1976,0
314,2-,55,1966,17-12-2013,1966,0
315,3-,65,1956,11-03-2014,1956,0
316,7-,49,1972,29-07-2013,1972,0
317,8-,36,1985,14-08-2012,1985,0
318,7-,70,1951,16-07-2013,1951,0
319,8-,51,1970,23-08-2013,1970,0
320,1-,50,1971,17-01-2013,1971,0
321,7-,47,1974,01-07-2013,1974,0
322,2-,56,1965,09-02-2014,1965,0
323,2-,60,1961,07-02-2013,1961,0
324,1-,68,1953,11-01-2013,1953,0
325,7-,64,1957,05-07-2013,1957,0
326,7-,45,1976,02-07-2013,1976,0
327,1-,37,1984,07-11-2013,1984,0
328,5-,71,1950,09-05-2013,1950,0
329,2-,35,1986,13-02-2013,1986,0
330,4-,38,1983,16-04-2013,1983,0
331,9-,32,1989,11-09-2013,1989,0
332,4-,65,1956,03-04-2013,1956,0
333,1-,50,1971,10-01-2013,1971,0
334,6-,38,1983,30-06-2013,1983,0
335,9-,61,1960,12-09-2012,1960,0
336,2-,53,1968,06-12-2012,1968,0
337,1-,49,1972,12-11-2012,1972,0
338,3-,56,1965,03-03-2013,1965,0
339,9-,122,1899,26-09-2013,1899,0
340,8-,33,1988,10-08-2012,1988,0
341,2-,35,1986,07-12-2013,1986,0
342,1-,52,1969,23-11-2012,1969,0
343,6-,71,1950,13-06-2013,1950,0
344,8-,48,1973,15-08-2013,1973,0
345,1-,69,1952,10-11-2013,1952,0
346,6-,56,1965,23-06-2013,1965,0
347,6-,51,1970,16-06-2014,1970,0
348,2-,50,1971,25-12-2012,1971,0
349,1-,45,1976,03-01-2014,1976,0
350,2-,64,1957,17-12-2013,1957,0
351,1-,35,1986,10-01-2013,1986,0
352,0-,55,1966,28-10-2013,1966,0
353,0-,47,1974,27-10-2012,1974,0
354,2-,45,1976,22-12-2012,1976,0
355,1-,43,1978,29-11-2013,1978,0
356,5-,66,1955,11-05-2013,1955,0
357,2-,52,1969,12-12-2012,1969,0
358,8-,78,1943,20-08-2013,1943,0
359,0-,73,1948,08-10-2013,1948,0
360,9-,64,1957,28-09-2012,1957,0
361,3-,52,1969,22-03-2014,1969,0
362,2-,43,1978,24-02-2014,1978,0
363,1-,43,1978,23-11-2012,1978,0
364,2-,54,1967,28-12-2012,1967,0
365,8-,52,1969,21-08-2012,1969,0
366,5-,61,1960,17-05-2013,1960,0
367,3-,45,1976,16-03-2013,1976,0
368,1-,59,1962,17-11-2012,1962,0
369,2-,46,1975,01-12-2012,1975,0
370,4-,37,1984,22-04-2014,1984,0
371,0-,46,1975,28-10-2012,1975,0
372,8-,51,1970,29-08-2013,1970,0
373,1-,55,1966,11-11-2012,1966,0
374,6-,49,1972,22-06-2013,1972,0
375,8-,46,1975,18-08-2012,1975,0
376,3-,51,1970,18-03-2013,1970,0
377,2-,32,1989,30-12-2012,1989,0
378,0-,60,1961,02-10-2013,1961,0
379,6-,52,1969,14-06-2013,1969,0
380,1-,52,1969,08-01-2013,1969,0
381,1-,36,1985,14-11-2013,1985,0
382,2-,67,1954,12-12-2012,1954,0
383,8-,48,1973,22-08-2012,1973,0
384,3-,40,1981,30-03-2014,1981,0
385,5-,50,1971,15-05-2013,1971,0
386,0-,53,1968,16-10-2013,1968,0
387,0-,61,1960,05-10-2012,1960,0
388,8-,72,1949,30-08-2012,1949,0
389,5-,53,1968,08-05-2013,1968,0
390,1-,42,1979,03-01-2014,1979,0
391,2-,42,1979,09-12-2013,1979,0
392,5-,28,1993,04-05-2014,1993,0
393,4-,75,1946,18-04-2013,1946,0
394,2-,53,1968,25-02-2014,1968,0
395,0-,30,1991,06-10-2013,1991,0
396,9-,50,1971,15-09-2012,1971,0
397,8-,37,1984,31-08-2012,1984,0
398,2-,34,1987,24-12-2012,1987,0
399,1-,41,1980,09-11-2012,1980,0
400,3-,65,1956,23-03-2013,1956,0
401,9-,56,1965,27-09-2012,1965,0
402,8-,47,1974,15-08-2013,1974,0
403,3-,61,1960,11-03-2013,1960,0
404,0-,66,1955,22-10-2013,1955,0
405,6-,56,1965,09-06-2014,1965,0
406,8-,49,1972,30-08-2012,1972,0
407,5-,50,1971,30-05-2014,1971,0
408,6-,47,1974,06-06-2013,1974,0
409,0-,58,1963,17-10-2012,1963,0
410,1-,39,1982,17-11-2012,1982,0
411,1-,45,1976,09-11-2012,1976,0
412,3-,66,1955,30-03-2013,1955,0
413,8-,34,1987,22-08-2012,1987,0
414,1-,59,1962,23-01-2013,1962,0
415,3-,78,1943,31-03-2014,1943,0
416,1-,46,1975,20-11-2013,1975,0
417,2-,27,1994,14-02-2014,1994,0
418,2-,40,1981,22-02-2013,1981,0
419,3-,50,1971,05-03-2013,1971,0
420,5-,48,1973,06-05-2014,1973,0
421,5-,38,1983,22-05-2014,1983,0
422,6-,39,1982,05-06-2014,1982,0
423,6-,47,1974,04-06-2013,1974,0
424,4-,80,1941,13-04-2013,1941,0
425,2-,68,1953,04-12-2013,1953,0
426,4-,35,1986,24-04-2014,1986,0
427,4-,32,1989,05-04-2014,1989,0
428,5-,32,1989,04-05-2014,1989,0
429,4-,53,1968,25-04-2013,1968,0
430,5-,60,1961,09-05-2013,1961,0
431,0-,32,1989,29-10-2012,1989,0
432,1-,54,1967,23-01-2013,1967,0
433,1-,57,1964,25-11-2013,1964,0
434,2-,51,1970,02-02-2014,1970,0
435,6-,65,1956,21-06-2013,1956,0
436,2-,55,1966,21-12-2013,1966,0
437,9-,72,1949,07-09-2013,1949,0
438,8-,50,1971,22-08-2013,1971,0
439,2-,35,1986,07-02-2013,1986,0
440,7-,32,1989,04-07-2013,1989,0
441,2-,73,1948,20-12-2013,1948,0
442,8-,75,1946,06-08-2013,1946,0
443,2-,32,1989,30-12-2012,1989,0
444,3-,47,1974,17-03-2014,1974,0
445,7-,62,1959,13-07-2013,1959,0
446,0-,49,1972,09-10-2013,1972,0
447,2-,57,1964,29-12-2013,1964,0
448,6-,45,1976,09-06-2013,1976,0
449,2-,68,1953,22-12-2013,1953,0
450,5-,66,1955,02-05-2013,1955,0
451,2-,52,1969,16-02-2013,1969,0
452,0-,50,1971,17-10-2013,1971,0
453,2-,41,1980,01-12-2013,1980,0
454,9-,45,1976,07-09-2012,1976,0
455,8-,49,1972,20-08-2012,1972,0
456,9-,55,1966,15-09-2012,1966,0
457,4-,37,1984,01-04-2013,1984,0
458,5-,69,1952,25-05-2014,1952,0
459,9-,39,1982,25-09-2012,1982,0
460,1-,57,1964,01-01-2014,1964,0
461,9-,72,1949,22-09-2013,1949,0
462,1-,63,1958,28-01-2014,1958,0
463,6-,58,1963,26-06-2014,1963,0
464,2-,46,1975,24-02-2014,1975,0
465,3-,52,1969,03-03-2014,1969,0
466,4-,66,1955,23-04-2013,1955,0
467,0-,51,1970,31-10-2012,1970,0
468,3-,70,1951,06-03-2014,1951,0
469,8-,50,1971,15-08-2012,1971,0
470,3-,46,1975,27-03-2013,1975,0
471,0-,41,1980,10-10-2013,1980,0
472,8-,40,1981,04-08-2012,1981,0
473,1-,43,1978,02-01-2013,1978,0
474,5-,33,1988,18-05-2014,1988,0
475,2-,65,1956,18-02-2013,1956,0
476,5-,49,1972,09-05-2014,1972,0
477,5-,44,1977,23-05-2014,1977,0
478,0-,49,1972,23-10-2012,1972,0
479,0-,44,1977,31-10-2012,1977,0
480,2-,48,1973,30-12-2013,1973,0
481,8-,49,1972,11-08-2013,1972,0
482,8-,47,1974,19-08-2012,1974,0
483,0-,46,1975,30-10-2013,1975,0
484,0-,61,1960,10-10-2012,1960,0
485,9-,57,1964,14-09-2012,1964,0
486,1-,45,1976,14-11-2013,1976,0
487,6-,47,1974,26-06-2013,1974,0
488,1-,52,1969,26-01-2014,1969,0
489,0-,69,1952,28-10-2012,1952,0
490,9-,63,1958,24-09-2012,1958,0
491,2-,45,1976,03-12-2012,1976,0
492,2-,66,1955,22-02-2013,1955,0
493,1-,57,1964,12-01-2013,1964,0
494,1-,77,1944,27-11-2013,1944,0
495,4-,59,1962,13-04-2013,1962,0
496,4-,43,1978,05-04-2014,1978,0
497,4-,50,1971,21-04-2013,1971,0
498,5-,72,1949,22-05-2014,1949,0
499,4-,77,1944,03-04-2013,1944,0
500,8-,71,1950,06-08-2012,1950,0
501,1-,60,1961,15-11-2013,1961,0
502,2-,31,1990,29-12-2012,1990,0
503,8-,36,1985,24-08-2012,1985,0
504,6-,65,1956,21-06-2013,1956,0
505,1-,68,1953,07-11-2012,1953,0
506,2-,45,1976,02-12-2013,1976,0
507,7-,32,1989,19-07-2013,1989,0
508,6-,29,1992,21-06-2013,1992,0
509,2-,62,1959,16-12-2012,1959,0
510,5-,40,1981,25-05-2013,1981,0
511,3-,42,1979,28-03-2013,1979,0
512,0-,57,1964,20-10-2013,1964,0
513,3-,62,1959,17-03-2014,1959,0
514,5-,75,1946,11-05-2013,1946,0
515,4-,46,1975,14-04-2013,1975,0
516,2-,60,1961,03-02-2013,1961,0
517,6-,31,1990,30-06-2013,1990,0
518,8-,62,1959,23-08-2013,1959,0
519,3-,77,1944,01-03-2014,1944,0
520,1-,56,1965,27-01-2014,1965,0
521,3-,34,1987,01-03-2014,1987,0
522,8-,30,1991,16-08-2013,1991,0
523,9-,68,1953,30-09-2012,1953,0
524,9-,34,1987,08-09-2012,1987,0
525,2-,35,1986,04-12-2012,1986,0
526,1-,63,1958,27-11-2013,1958,0
527,6-,44,1977,08-06-2014,1977,0
528,8-,57,1964,12-08-2012,1964,0
529,1-,61,1960,03-11-2013,1960,0
530,2-,46,1975,15-02-2013,1975,0
531,9-,52,1969,18-09-2013,1969,0
532,6-,44,1977,18-06-2014,1977,0
533,4-,59,1962,24-04-2013,1962,0
534,6-,39,1982,17-06-2013,1982,0
535,4-,70,1951,11-04-2013,1951,0
536,1-,54,1967,18-01-2014,1967,0
537,2-,54,1967,15-02-2014,1967,0
538,8-,69,1952,08-08-2013,1952,0
539,2-,40,1981,23-12-2013,1981,0
540,1-,44,1977,07-11-2013,1977,0
541,8-,52,1969,06-08-2012,1969,0
542,1-,37,1984,28-11-2012,1984,0
543,8-,39,1982,07-08-2013,1982,0
544,6-,45,1976,04-06-2013,1976,0
545,3-,31,1990,08-03-2014,1990,0
546,1-,57,1964,07-01-2014,1964,0
547,2-,41,1980,03-12-2013,1980,0
548,1-,53,1968,26-01-2014,1968,0
549,3-,48,1973,29-03-2014,1973,0
550,3-,58,1963,31-03-2014,1963,0
551,4-,32,1989,08-04-2014,1989,0
552,2-,50,1971,07-02-2014,1971,0
553,4-,58,1963,18-04-2013,1963,0
554,1-,72,1949,06-11-2013,1949,0
555,9-,69,1952,12-09-2012,1952,0
556,3-,43,1978,01-03-2013,1978,0
557,4-,39,1982,05-04-2013,1982,0
558,8-,51,1970,03-08-2013,1970,0
559,5-,62,1959,22-05-2013,1959,0
560,9-,43,1978,09-09-2013,1978,0
561,6-,41,1980,16-06-2013,1980,0
562,6-,50,1971,25-06-2013,1971,0
563,1-,51,1970,15-01-2014,1970,0
564,1-,58,1963,05-11-2013,1963,0
565,6-,71,1950,07-06-2014,1950,0
566,2-,59,1962,05-12-2012,1962,0
567,9-,70,1951,07-09-2013,1951,0
568,7-,42,1979,05-07-2013,1979,0
569,2-,51,1970,07-12-2012,1970,0
570,9-,47,1974,12-09-2012,1974,0
571,1-,53,1968,27-01-2014,1968,0
572,9-,43,1978,13-09-2013,1978,0
573,8-,51,1970,01-08-2013,1970,0
574,0-,40,1981,02-10-2013,1981,0
575,1-,44,1977,31-01-2013,1977,0
576,4-,53,1968,01-04-2014,1968,0
577,8-,51,1970,23-08-2013,1970,0
578,9-,55,1966,16-09-2013,1966,0
579,7-,65,1956,09-07-2013,1956,0
580,1-,47,1974,10-11-2012,1974,0
581,3-,70,1951,18-03-2013,1951,0
582,0-,54,1967,20-10-2013,1967,0
583,4-,70,1951,15-04-2013,1951,0
584,4-,38,1983,03-04-2014,1983,0
585,4-,50,1971,18-04-2014,1971,0
586,9-,66,1955,23-09-2012,1955,0
587,9-,60,1961,14-09-2013,1961,0
588,5-,66,1955,17-05-2014,1955,0
589,8-,62,1959,20-08-2013,1959,0
590,0-,37,1984,12-10-2012,1984,0
591,2-,46,1975,12-12-2012,1975,0
592,1-,56,1965,10-11-2013,1965,0
593,1-,44,1977,30-01-2014,1977,0
594,9-,49,1972,11-09-2013,1972,0
595,9-,46,1975,19-09-2013,1975,0
596,0-,52,1969,26-10-2012,1969,0
597,0-,52,1969,19-10-2013,1969,0
598,6-,43,1978,04-06-2013,1978,0
599,8-,40,1981,17-08-2012,1981,0
600,2-,60,1961,21-02-2013,1961,0
601,8-,61,1960,31-08-2012,1960,0
602,9-,66,1955,17-09-2013,1955,0
603,2-,73,1948,09-12-2012,1948,0
604,1-,55,1966,26-01-2013,1966,0
605,2-,35,1986,29-12-2012,1986,0
606,2-,48,1973,11-02-2014,1973,0
607,3-,65,1956,11-03-2013,1956,0
608,0-,46,1975,26-10-2012,1975,0
609,5-,56,1965,07-05-2014,1965,0
610,8-,52,1969,19-08-2013,1969,0
611,7-,77,1944,18-07-2013,1944,0
612,2-,48,1973,11-12-2012,1973,0
613,0-,54,1967,28-10-2013,1967,0
614,1-,52,1969,09-11-2012,1969,0
615,7-,47,1974,26-07-2013,1974,0
616,5-,56,1965,06-05-2013,1965,0
617,6-,45,1976,03-06-2013,1976,0
618,3-,43,1978,18-03-2013,1978,0
619,8-,61,1960,17-08-2012,1960,0
620,7-,60,1961,11-07-2013,1961,0
621,7-,50,1971,14-07-2013,1971,0
622,3-,72,1949,10-03-2014,1949,0
623,2-,43,1978,28-12-2013,1978,0
624,6-,66,1955,03-06-2013,1955,0
625,1-,45,1976,20-01-2013,1976,0
626,6-,46,1975,03-06-2013,1975,0
627,9-,61,1960,21-09-2012,1960,0
628,9-,44,1977,06-09-2012,1977,0
629,2-,44,1977,18-12-2012,1977,0
630,1-,51,1970,19-11-2013,1970,0
631,6-,63,1958,13-06-2014,1958,0
