Income,Kidhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Response,Year_Birth,Dt_Customer
2447.0,1,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1979,06-01-2013
58607.0,0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1949,23-12-2012
65324.0,0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1954,11-01-2014
40689.0,0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1951,18-03-2013
18589.0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1969,02-01-2013
53359.0,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1976,27-05-2013
51381.5,1,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1986,20-02-2013
38360.0,1,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1989,31-05-2013
84618.0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1965,22-11-2013
10979.0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1989,22-05-2014
38620.0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1963,11-05-2013
40548.0,0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1970,10-10-2012
46610.0,0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1952,29-10-2012
68657.0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1946,20-02-2013
49389.0,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1951,29-08-2013
67353.0,0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1970,31-12-2013
23718.0,1,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1976,02-09-2013
42429.0,0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1973,11-02-2014
48948.0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1943,01-02-2013
80011.0,0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1980,29-04-2013
20559.0,1,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1985,12-03-2013
21994.0,0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1957,24-12-2012
51381.5,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1959,05-11-2013
7500.0,1,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1975,02-10-2013
79941.0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1976,28-06-2014
7500.0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1996,09-11-2012
41728.0,1,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1968,24-05-2013
51381.5,2,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1951,01-01-2014
72550.0,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1954,08-11-2012
65486.0,0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1957,12-05-2014
79143.0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1964,11-08-2012
35790.0,1,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1977,02-01-2013
82582.0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1977,07-06-2014
66373.0,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1978,12-06-2013
82384.0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1955,19-11-2012
70287.0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1966,02-04-2013
27938.0,1,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1988,28-04-2014
51381.5,1,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1982,17-06-2013
55954.0,0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1968,03-03-2014
75777.0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1982,04-07-2013
66653.0,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1975,07-09-2012
61823.0,0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1952,18-02-2013
67680.0,0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1951,11-06-2013
70666.0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1948,06-12-2013
25721.0,1,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1971,21-05-2013
32474.0,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1967,11-05-2014
88194.0,0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1979,19-03-2014
69096.0,0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1958,27-09-2013
74854.0,1,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1970,08-04-2013
66991.0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1954,11-09-2012
51381.5,1,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1973,14-09-2012
65031.0,0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1959,17-03-2013
60631.0,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1975,05-04-2013
28332.0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1952,30-04-2014
40246.0,1,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1977,19-12-2012
75251.0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1972,27-08-2012
75825.0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1976,12-10-2012
26326.0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1976,04-09-2013
56046.0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1965,02-01-2013
29760.0,1,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1985,29-08-2012
26304.0,1,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1969,23-06-2013
23559.0,1,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1973,03-07-2013
38620.0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1963,11-05-2013
81361.0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1987,25-02-2014
29440.0,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1960,11-08-2013
36138.0,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1970,16-07-2013
50388.0,0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1957,28-05-2014
79593.0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1973,12-05-2014
54178.0,0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1967,21-01-2014
51381.5,2,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1957,19-11-2012
51381.5,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1957,27-05-2014
51381.5,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1973,23-11-2013
42394.0,1,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1972,23-03-2014
23626.0,1,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1970,24-05-2014
30096.0,1,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1983,22-05-2014
47916.0,0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1960,22-11-2012
51813.0,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1972,11-04-2013
78497.0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1951,01-12-2013
50150.0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1983,20-06-2013
47823.0,0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1960,23-07-2013
34554.0,0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1959,30-03-2014
85693.0,0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1979,20-04-2013
65846.0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1945,17-05-2013
87195.0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1959,08-05-2014
24594.0,1,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1979,10-12-2013
49096.0,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1964,24-09-2013
52413.0,0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1969,02-02-2013
38557.0,1,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1978,19-12-2012
89058.0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1960,07-12-2012
77298.0,0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1979,02-11-2013
68126.0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1991,10-11-2012
57288.0,0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1963,25-06-2014
86037.0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1991,02-01-2013
43974.0,1,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1980,12-12-2012
50785.0,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1962,10-09-2013
90765.0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1970,24-01-2014
36550.0,1,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1978,19-02-2013
30753.0,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1967,11-07-2013
21918.0,1,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1969,14-11-2013
56129.0,0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1953,20-06-2013
32557.0,1,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1967,24-02-2014
19510.0,2,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1985,04-09-2013
30992.0,1,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1976,22-04-2013
101970.0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1983,12-03-2013
71488.0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1965,18-02-2013
79607.0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1984,21-04-2013
54348.0,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1953,08-06-2014
51381.5,0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1961,11-07-2013
77376.0,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1956,10-05-2014
62998.0,0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1952,30-09-2013
61331.0,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1958,10-03-2013
73448.0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1969,10-02-2014
51381.5,0,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1963,11-08-2013
41551.0,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1964,14-08-2013
62981.0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1967,17-03-2013
9548.0,1,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1976,08-08-2012
33762.0,2,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1959,07-07-2013
35860.0,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1973,19-05-2014
36921.0,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1965,28-07-2013
92859.0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1992,19-10-2012
65104.0,0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1976,14-11-2013
86111.0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1962,19-04-2013
68352.0,0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1974,28-08-2013
41883.0,1,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1988,19-03-2013
59809.0,0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1976,18-10-2012
23957.0,1,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1975,28-10-2012
38547.0,1,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1981,28-08-2013
35688.0,2,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1973,22-08-2012
49605.0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1966,21-06-2014
59354.0,0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1953,24-04-2014
65747.0,0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1969,07-03-2014
46344.0,0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1972,14-12-2012
34176.0,1,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1988,12-05-2014
61010.0,0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1952,09-10-2012
69372.0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1949,19-02-2013
49967.0,0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1958,08-07-2013
60199.0,1,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1978,12-09-2013
55375.0,0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1977,17-10-2013
80317.0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1955,20-08-2013
30523.0,2,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1958,01-07-2013
70356.0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1945,05-11-2012
23228.0,1,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1984,05-01-2014
74165.0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1975,01-05-2013
157243.0,0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1973,01-03-2014
43482.0,2,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1966,13-11-2013
62551.0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1953,18-11-2013
52332.0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1959,28-08-2013
66951.0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1988,02-11-2013
26091.0,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1957,25-02-2014
33456.0,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1965,21-04-2014
28718.0,1,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1982,13-07-2013
50447.0,2,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1970,21-04-2014
53537.0,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1959,30-01-2014
52074.0,0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1967,04-04-2014
80427.0,0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1975,12-09-2012
83837.0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1948,16-12-2012
38853.0,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1970,23-05-2014
38285.0,2,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1959,24-06-2014
