v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,group,y
1,0,0,1,1,0,0,1,0,0,0,74.79952678
1,1,1,0,1,1,1,0,0,1,0,73.70268836
1,1,1,0,1,0,1,0,0,1,0,15.69064319
1,0,0,0,1,0,1,1,1,0,0,39.03809197
1,0,0,1,0,0,0,1,0,0,0,-221.5515702
1,1,1,1,1,1,0,0,1,1,0,-49.97490287
1,1,1,0,0,1,0,1,0,0,0,-184.3833497
1,1,0,0,0,0,1,1,0,1,0,-57.81106798
1,1,0,0,1,0,0,0,0,0,0,-11.08781758
1,1,0,1,0,0,1,0,0,1,0,-52.30660129
1,1,1,1,0,1,1,0,0,0,0,44.21818378
1,1,1,1,1,0,1,1,1,1,0,7.697060218
1,0,1,1,0,0,1,1,0,0,0,-77.41878149
1,0,0,0,0,0,0,0,1,1,0,-370.7098814
1,0,0,0,0,1,1,1,0,0,0,134.7713956
1,1,0,0,1,1,0,0,0,1,0,-231.2289989
1,1,0,1,0,0,0,1,1,1,0,-137.3766717
1,0,0,0,0,1,0,0,1,0,0,-106.0496481
1,1,0,0,0,0,1,0,0,0,0,-80.97170487
0,0,1,0,0,0,0,0,1,0,0,-186.6588337
1,1,1,0,0,0,1,0,0,1,0,4.097426052
1,1,0,1,1,0,1,1,0,1,0,182.8366423
1,1,0,1,0,1,1,1,1,0,0,48.99876171
1,0,0,1,0,1,0,1,0,0,0,-109.08523
1,1,1,0,1,1,1,0,1,1,0,82.88528915
1,1,1,0,0,0,0,1,0,0,0,-38.45203175
1,0,1,0,1,1,0,0,1,1,0,111.7685868
1,1,1,0,0,1,1,0,1,1,0,22.81963874
1,0,1,0,0,1,0,0,0,1,0,-133.4783628
1,1,1,1,1,1,1,0,1,1,0,61.90635343
1,1,0,0,1,0,1,1,1,0,0,280.2013923
1,0,0,0,0,0,0,0,0,0,0,-406.6407554
1,0,0,1,1,1,1,1,1,0,0,110.5639993
1,0,1,0,1,0,0,0,1,0,0,-30.42184335
1,0,0,1,1,0,1,0,0,0,0,47.84057506
1,0,1,0,0,1,1,0,0,1,0,24.48613209
1,1,0,0,0,0,1,1,0,1,0,-99.99710895
1,0,1,0,0,0,1,0,0,1,0,-212.2656397
1,0,0,0,0,1,1,1,1,1,0,85.86509361
1,1,0,0,1,0,1,0,0,0,0,22.87924865
1,1,0,1,1,1,1,1,0,1,0,360.0712362
1,0,0,1,0,1,1,0,1,1,0,31.64876298
1,1,0,0,0,1,1,1,0,0,0,101.7504713
1,1,1,1,0,1,1,1,1,0,0,143.4073195
1,0,1,1,1,0,0,1,0,1,0,73.14960557
1,0,1,1,1,1,0,1,1,1,0,-7.747003203
1,1,0,1,1,1,0,1,1,1,0,51.36205012
1,0,0,0,0,1,1,1,0,0,0,128.3868628
1,1,0,1,1,1,0,0,1,0,0,-9.624096706
1,0,0,0,0,1,0,0,1,1,0,-124.8368025
1,0,0,1,1,1,1,1,1,1,0,307.7939236
1,0,1,1,0,0,0,1,1,1,0,11.89555528
1,0,0,0,1,0,1,0,1,1,0,-18.2875779
1,1,1,0,0,0,0,0,1,1,0,-265.516553
1,1,0,1,0,0,1,0,0,0,0,-78.11427845
1,0,1,1,0,0,0,0,1,0,0,-272.2079914
1,1,1,0,0,0,1,0,0,0,0,-18.07471876
1,1,0,1,0,1,1,0,1,1,0,2.010561015
1,0,0,0,1,1,0,0,1,1,0,-35.27196051
1,1,1,1,0,1,1,1,0,0,0,30.83225892
1,1,1,1,0,0,1,0,1,0,0,-122.4754299
1,0,1,1,0,0,1,1,1,1,0,4.182274702
1,0,1,0,0,1,1,1,1,1,0,170.5690639
1,1,0,1,1,0,1,0,1,0,0,45.10607924
1,0,0,0,1,0,0,0,0,0,0,75.71548956
1,1,1,0,0,1,0,0,1,1,0,-25.47714876
1,0,1,1,0,0,1,1,0,0,0,42.5979063
1,1,1,0,1,1,1,1,0,1,0,147.4496961
1,1,1,0,1,0,1,0,0,1,0,130.6370398
1,0,1,1,1,1,0,1,0,0,0,166.6504854
1,0,1,0,1,1,1,1,1,1,0,268.1243786
1,0,0,0,0,1,1,1,0,0,0,92.59800475
1,1,1,1,1,0,0,1,1,1,0,102.0395779
1,0,1,1,0,1,1,0,1,1,0,-32.21478798
1,1,0,1,0,0,1,1,0,0,0,96.41473681
1,1,1,0,1,0,1,0,1,0,0,-47.05593965
1,1,0,0,0,0,1,0,0,0,0,-123.2788564
1,0,1,1,1,0,0,0,0,1,0,-35.62720158
1,0,1,1,0,0,0,0,0,0,0,-101.0480526
1,1,1,1,1,0,1,1,0,0,0,46.74445614
1,0,1,1,0,0,1,0,1,0,0,-63.21520319
1,1,0,0,0,1,1,1,1,0,0,290.592451
1,1,0,0,1,1,0,1,0,0,0,73.52055395
1,1,0,1,1,1,1,1,0,1,0,238.1897153
1,1,1,0,1,1,1,1,1,1,0,299.571494
1,1,0,0,1,0,1,1,0,0,0,116.2743893
1,0,1,0,0,1,0,1,0,0,0,35.77982338
1,1,0,1,0,0,0,0,0,0,0,-163.5292567
1,0,1,0,0,0,1,0,1,1,0,-4.191572007
1,1,0,1,1,0,0,1,0,1,0,-132.7559147
1,1,0,0,1,0,1,1,1,1,0,113.0567347
1,0,1,0,1,1,1,1,1,0,0,129.332144
1,0,1,0,1,1,0,0,1,0,0,79.3106685
1,1,0,1,1,0,1,0,0,0,0,58.66094482
1,1,1,1,1,0,0,1,1,1,0,-57.18397208
1,0,1,1,0,0,0,1,0,1,0,-137.5189754
1,1,0,1,1,0,1,0,0,1,0,-31.35245781
1,0,1,0,0,1,0,0,1,1,0,-259.1913501
1,0,0,1,1,0,0,1,1,1,0,231.5518894
1,1,1,0,0,1,0,1,0,0,0,-181.0955603
1,1,0,1,1,0,1,0,0,1,0,-10.29794977
1,0,0,1,1,1,1,1,1,1,0,136.3271879
1,1,1,0,1,0,0,1,0,1,0,81.61653409
1,0,0,0,0,1,0,0,1,1,0,-324.8939434
1,0,0,0,1,1,1,0,0,1,0,-96.07776056
1,1,1,1,0,0,1,1,1,1,0,36.87968717
1,0,0,1,1,0,0,0,0,1,0,-147.6736161
1,0,1,0,1,1,0,0,0,0,0,-102.6099569
1,0,0,1,0,0,0,1,0,0,0,-41.10954032
1,0,1,0,1,0,1,1,0,0,0,60.06701193
1,0,0,0,1,1,0,0,1,1,0,11.88437087
1,0,0,0,1,0,0,1,0,0,0,-20.39642189
1,1,0,1,1,1,0,0,1,1,0,-262.9329568
1,1,0,1,0,1,0,1,1,1,0,-139.9223115
1,0,0,0,1,1,1,1,1,0,0,233.8543406
1,1,0,0,0,1,1,1,1,1,0,167.4628608
1,1,1,0,0,0,1,0,0,1,0,-132.8902469
1,1,0,0,1,0,0,0,0,0,0,-66.24480567
1,1,1,0,0,0,1,0,0,1,0,-64.18747592
1,0,0,0,0,1,1,1,1,1,0,352.7191743
1,0,0,0,0,0,1,0,1,0,0,-193.2371514
1,1,1,0,1,1,1,0,1,1,0,35.42315978
1,0,0,1,1,0,0,0,1,1,0,-199.7534202
1,1,0,1,1,0,0,1,1,1,0,38.18743063
1,0,1,0,1,1,0,0,0,1,0,-88.79221553
1,0,0,1,0,1,0,1,0,0,0,-158.8815958
1,1,1,0,1,0,1,1,0,0,0,306.3139725
1,0,0,0,0,0,1,0,0,0,0,-111.4981668
1,1,0,0,0,0,1,0,0,0,0,-30.30918401
1,1,1,0,0,0,0,0,0,0,0,-117.6972962
1,0,0,1,1,1,0,1,0,0,0,54.752249
1,0,0,0,1,0,1,1,1,0,0,37.35767678
1,0,1,0,0,0,0,0,1,0,0,-231.511726
1,1,0,0,1,0,0,0,1,0,0,-158.0842524
1,0,0,1,1,0,1,1,0,1,0,193.9811907
1,0,1,1,0,1,0,1,1,0,0,-50.51675961
1,0,0,1,0,0,0,0,1,1,0,-125.1942446
1,1,1,0,1,0,1,0,1,1,0,6.323791588
1,0,1,0,1,0,0,1,0,1,0,33.17964844
1,0,1,1,1,0,0,1,1,1,0,18.62145591
1,1,1,0,1,1,1,0,1,1,0,127.1792056
1,0,0,0,0,0,0,0,0,1,0,-358.8479341
1,1,1,0,0,1,1,1,1,0,0,243.9031668
1,0,0,1,1,0,1,1,0,0,0,99.28702765
1,0,1,1,0,1,0,0,0,0,0,-153.7668376
1,0,1,0,1,0,1,0,1,1,0,171.2033229
1,0,1,1,0,0,1,0,0,0,0,-267.089791
1,1,0,1,1,0,1,1,1,0,0,111.0401517
1,1,1,1,0,1,0,1,0,0,0,-37.86662035
1,1,1,1,1,1,0,1,1,1,0,197.6135831
1,0,0,1,0,1,0,0,1,1,0,-170.1298238
1,1,1,1,0,1,0,1,1,1,0,-136.6793023
1,0,0,0,1,1,1,0,0,0,0,184.0262225
1,1,1,0,1,1,1,0,1,1,0,165.0055708
1,0,1,0,1,1,0,0,1,0,0,-147.1389358
1,0,1,0,1,0,0,0,1,0,0,118.8644436
1,0,1,1,0,1,1,0,1,1,0,-3.574881415
1,1,1,1,1,1,0,0,0,0,0,24.18819701
1,1,1,1,1,1,0,0,0,1,0,-27.87160272
1,1,1,0,0,0,1,0,0,0,0,26.41140535
1,1,1,1,0,1,0,0,0,0,0,-121.9240737
1,1,0,1,0,1,0,1,1,0,0,-162.4925408
1,1,0,1,0,0,0,1,1,0,0,-62.91064661
1,0,0,1,1,1,1,0,1,1,0,72.04424199
1,1,0,1,0,0,0,0,0,1,0,-371.9979555
1,0,0,1,0,1,1,0,0,1,0,-31.427113
1,0,1,1,0,0,1,0,1,1,0,8.286256904
1,1,0,0,0,1,0,0,0,0,0,-109.0549942
1,1,0,0,1,0,1,0,0,1,0,94.99278286
1,1,0,1,1,0,0,1,0,1,0,5.524314525
1,1,1,1,0,1,1,1,0,0,0,91.17432843
1,0,0,0,1,1,0,1,0,0,0,111.4562133
1,0,0,0,1,0,0,1,0,1,0,-91.24314282
1,1,0,1,0,0,1,1,1,1,0,115.8898246
1,1,0,0,0,1,0,0,1,0,0,-279.246916
1,0,0,1,0,1,1,0,1,1,0,37.10403173
1,0,0,0,0,0,1,0,1,0,0,74.94671788
1,0,1,0,1,0,0,1,1,1,0,-18.07974749
1,0,0,0,1,0,0,1,1,1,0,-113.9974871
1,0,0,1,0,1,1,0,1,0,0,-74.73353449
1,1,1,0,1,1,0,1,0,1,0,-23.95504362
1,0,1,1,1,0,1,0,0,1,0,-38.40135084
1,0,0,0,0,0,1,0,0,0,0,-367.3663315
1,1,1,1,1,1,0,0,1,0,0,-114.8433991
1,0,1,1,0,1,0,1,1,0,0,99.05218825
1,0,0,1,0,0,1,0,0,1,0,48.16243126
1,1,0,0,1,0,0,1,1,1,0,69.9200341
1,1,0,0,0,0,1,0,0,1,0,-60.80274736
1,0,0,0,1,0,0,0,1,0,0,-112.6964563
1,0,1,1,1,0,0,1,0,0,0,-120.218893
1,1,0,1,1,0,1,1,0,0,0,103.9412295
1,1,1,1,1,1,1,0,0,0,0,162.7222925
1,0,0,1,0,1,1,0,1,0,0,-120.0432137
1,1,0,1,0,0,0,0,0,0,0,-403.1461229
1,1,1,1,1,1,1,0,0,0,0,41.82226415
1,1,1,0,1,1,1,1,0,1,0,317.815211
1,0,0,1,0,1,1,0,0,0,0,-0.741757452
1,1,0,0,0,0,0,1,0,0,0,-10.15722764
1,0,0,1,1,1,1,1,0,1,0,161.9059678
1,1,1,1,0,1,0,0,0,1,0,-195.1609036
1,0,0,0,1,0,1,1,1,0,0,277.4699168
1,1,0,1,0,0,1,1,1,1,0,-90.87623215
1,0,1,0,1,0,1,0,0,0,0,30.85793525
1,1,0,1,1,1,1,0,0,1,0,2.36882638
1,1,0,1,0,0,1,1,1,0,0,-84.74302288
1,0,1,1,1,0,1,0,0,0,0,-61.59652958
1,1,1,1,1,0,1,0,0,0,0,-127.2285686
1,1,0,1,0,1,0,1,1,0,0,29.60928588
1,0,1,0,1,1,0,1,1,1,0,181.4715921
1,1,1,0,0,0,1,1,1,0,0,79.44628015
1,0,0,1,1,1,1,0,0,0,0,91.24292432
1,1,1,0,1,1,1,0,0,0,0,102.306129
1,0,1,0,0,0,1,1,0,1,0,180.8003787
1,0,1,0,0,1,0,1,1,0,0,6.211516855
1,1,1,1,1,0,0,0,0,1,0,-124.9632801
1,1,0,1,0,1,0,1,1,0,0,-226.2610891
1,0,1,0,0,0,0,0,0,1,0,-391.4025671
1,0,1,1,0,0,1,1,0,0,0,48.36731065
1,0,0,0,0,1,1,0,0,0,0,-113.8932057
1,0,1,0,1,1,0,0,0,1,0,-62.86030514
1,1,0,0,1,0,0,1,1,1,0,44.403273
1,1,0,1,0,0,1,0,0,0,0,-73.47121828
1,0,0,0,1,0,0,1,0,0,0,62.08989368
1,1,0,1,1,0,1,1,1,0,0,145.0853743
1,1,0,0,0,1,1,1,0,1,0,-0.698773417
1,0,1,0,0,0,1,0,1,0,0,-53.49318287
1,1,1,1,0,0,0,1,1,1,0,-106.5612844
1,0,0,0,1,1,0,1,0,0,0,102.375668
1,0,1,0,1,1,1,0,0,0,0,1.579444282
1,0,1,0,0,1,0,1,1,0,0,-130.3809962
1,1,0,1,1,0,0,0,1,1,0,-60.20354502
1,1,1,1,1,0,0,1,0,0,0,112.0271082
1,1,0,1,1,1,0,0,1,0,0,47.46566017
1,1,0,1,1,0,0,0,1,0,0,-20.58574823
1,1,0,1,0,0,1,0,1,0,0,-153.3405744
1,0,0,0,1,1,1,1,1,1,0,378.0098527
1,1,0,1,0,0,0,0,0,0,0,-178.9218886
1,0,0,0,0,0,0,1,1,0,0,-57.53848107
1,0,0,0,1,0,0,0,1,0,0,16.4930568
1,1,1,1,0,1,1,0,0,0,0,45.59237088
1,0,0,1,1,0,1,1,1,0,0,136.0175317
1,1,1,0,0,1,0,1,0,1,0,-78.53677797
1,0,1,0,0,1,1,1,1,0,0,-23.11900905
1,1,0,1,0,0,0,0,1,1,0,-140.4005678
1,0,1,1,0,1,0,0,1,0,0,-280.3848442
1,0,1,1,0,0,1,1,1,1,0,-18.63941931
1,1,1,0,1,1,0,1,0,0,0,148.9068769
1,0,0,0,1,0,1,0,0,1,0,-132.758301
1,1,1,1,0,0,0,0,1,0,0,-284.5112015
1,1,1,0,1,1,0,0,1,1,0,-32.23086113
1,0,0,0,0,1,1,1,1,1,0,177.9008224
1,0,1,1,1,1,0,1,0,0,0,17.20624214
1,0,1,1,0,0,0,0,0,1,0,-288.6358528
1,1,1,1,0,1,0,0,0,1,0,-288.7350262
1,1,0,0,0,0,1,0,1,0,0,129.1496905
1,0,0,1,0,0,0,0,0,0,0,-100.6204103
1,1,0,1,1,0,0,0,1,1,0,-84.33079557
1,1,1,1,1,1,1,0,1,0,0,14.99163793
1,0,0,1,1,1,0,0,0,0,0,53.16525605
1,1,0,1,0,0,0,0,0,0,0,-235.0430396
1,0,0,1,0,1,1,0,0,0,0,-100.0900414
1,1,0,0,0,0,1,1,1,0,0,65.53665894
1,0,1,1,1,1,0,1,0,1,0,24.99519515
1,0,0,0,0,0,1,0,0,1,0,-160.1291708
1,0,0,0,0,1,1,0,1,0,0,37.790896
1,1,0,0,1,0,1,1,0,1,0,265.1516436
1,1,1,1,0,1,0,0,0,1,0,-446.4670534
1,0,1,1,0,0,1,0,0,0,0,-118.7161631
1,0,1,1,1,1,0,0,0,1,0,-39.03591487
1,0,1,0,1,0,0,1,1,1,0,267.9493883
1,1,1,1,1,0,1,0,0,1,0,36.94285447
1,0,0,1,1,1,1,1,1,0,0,271.4008455
1,0,1,0,0,1,1,0,0,0,0,-160.3390426
1,0,1,1,0,1,1,0,0,0,0,6.85117894
1,0,1,1,1,0,0,1,0,1,0,127.8548897
1,0,1,0,0,1,1,1,1,0,0,51.24566613
1,1,0,0,0,0,0,1,1,0,0,-256.8781308
1,1,0,1,0,1,0,1,0,0,0,-162.6936852
1,0,0,1,1,0,1,1,0,1,0,151.4961399
1,0,1,0,0,1,0,1,1,1,0,59.75170907
1,1,0,0,1,0,0,0,1,1,0,-40.5103581
1,0,0,1,1,1,1,1,1,1,0,251.7435671
1,1,1,1,0,1,1,1,0,0,0,58.86996006
1,1,1,0,0,0,0,0,0,0,0,-261.9695372
1,1,0,1,0,1,1,1,0,1,0,144.9905415
1,1,1,0,1,0,1,1,0,1,0,87.98045836
1,1,0,1,0,0,0,1,1,1,0,-110.0765153
1,0,0,1,0,1,1,0,1,0,0,47.58340756
1,1,0,1,0,1,0,0,1,0,0,-150.3659045
1,1,1,0,0,0,0,1,1,1,0,-97.24346253
1,1,1,1,0,1,0,0,1,0,0,-98.76868698
1,1,1,1,0,0,1,0,0,1,0,-164.8025217
1,1,1,0,0,0,0,0,1,1,0,-299.3810359
1,0,0,1,0,1,1,0,0,0,0,-99.94145924
1,0,1,0,1,0,1,0,1,0,0,103.0191782
1,0,1,1,0,1,1,1,0,1,0,175.6561196
1,0,0,1,1,1,0,1,0,1,0,199.2299109
1,0,1,0,0,0,0,1,1,1,0,-108.0022421
1,0,0,1,1,1,0,1,0,1,0,35.31930714
1,0,0,1,1,1,0,0,1,0,0,-30.55590575
1,1,0,1,1,0,0,1,1,0,0,178.3006452
1,0,0,1,1,0,1,0,0,1,0,-16.88445284
1,1,1,0,1,1,1,1,0,0,0,294.4136185
1,1,0,0,0,0,0,1,1,0,0,-143.5583803
1,1,1,0,1,1,0,0,1,1,0,-192.8482975
1,1,1,1,1,0,0,1,1,0,0,43.94106113
1,1,1,1,1,1,0,0,0,0,0,-46.96069757
1,1,0,1,0,1,1,0,0,1,0,31.55948658
1,0,0,0,0,1,0,1,1,0,0,29.42348549
1,0,1,1,0,0,0,0,1,0,0,-346.1499028
1,1,0,1,1,0,1,1,0,0,0,57.91954833
1,0,0,1,1,0,1,1,0,0,0,233.7741155
1,1,1,1,0,0,1,0,0,0,0,-268.3253331
1,0,0,0,0,0,0,0,1,1,0,-195.120414
1,1,1,0,1,1,1,0,1,0,0,76.53211169
1,1,0,1,1,1,0,1,1,0,0,347.8390001
1,1,0,0,0,1,1,0,0,1,0,57.85777061
1,0,1,0,0,1,0,1,1,0,0,-46.93150482
1,1,0,1,0,0,1,0,0,1,0,-165.2512209
1,1,1,0,0,0,1,0,0,0,0,-46.4768641
1,1,0,1,0,1,1,0,0,1,0,-177.2564758
1,1,1,1,0,1,0,1,1,0,0,-255.7025247
1,0,1,1,0,1,0,1,0,0,0,-59.78026294
1,0,1,0,0,0,1,0,1,1,0,-13.06192793
1,0,1,1,1,1,0,1,1,0,0,16.32523641
1,0,0,0,0,0,1,1,1,0,0,-25.72223558
1,1,1,1,0,0,0,0,0,0,0,-220.2330203
1,1,1,0,1,0,0,0,0,0,0,-28.69669699
1,1,0,0,1,0,1,0,1,0,0,133.6969809
1,0,0,0,0,0,1,0,0,1,0,-133.1861571
1,1,1,0,1,1,0,1,0,0,0,90.48696696
1,1,1,0,0,1,1,0,1,0,0,-110.1164389
1,1,1,1,1,1,1,0,0,1,0,104.313244
1,1,1,1,1,1,0,0,0,0,0,-104.3064261
1,0,1,1,1,1,1,0,0,0,0,73.16252161
1,0,1,1,1,0,0,1,1,1,0,86.58229018
1,1,1,0,0,0,0,0,0,0,0,-222.0887057
1,0,0,1,1,0,0,0,1,0,0,-266.1508614
1,1,0,1,1,1,0,0,1,0,0,-89.15296419
1,1,1,1,0,0,1,1,1,0,0,-26.74051357
1,0,1,1,1,0,1,0,0,0,0,166.2367579
1,0,1,1,0,0,1,0,0,0,0,-56.90568109
1,1,0,1,0,0,1,1,0,1,0,-52.04545623
1,1,1,1,1,1,1,1,1,0,0,312.2896384
1,0,0,1,1,1,0,0,1,1,0,8.030686355
1,0,1,0,0,1,1,0,1,0,0,-150.8077397
1,1,1,1,1,1,1,1,0,1,0,227.7172049
1,1,0,1,0,0,1,0,0,1,0,-223.8024579
1,1,1,1,0,0,0,1,1,1,0,-154.3168617
1,0,0,0,1,1,1,1,0,0,0,244.2626424
1,0,1,1,1,0,1,1,0,1,0,88.75010328
1,0,1,0,0,0,0,0,0,0,0,-193.8307003
1,0,0,1,1,0,1,0,0,1,0,69.88489492
1,1,1,1,0,0,0,1,0,1,0,-151.0184016
1,0,0,0,0,0,0,0,0,1,0,-500.921325
1,1,0,1,0,0,1,1,1,1,0,62.89177316
1,0,0,0,0,0,0,1,0,0,0,-209.2634382
1,1,1,0,1,1,0,1,0,0,0,133.9106936
1,0,0,1,0,0,1,0,1,1,0,-97.29349078
1,0,1,1,0,1,0,1,1,1,0,91.85498911
1,0,0,1,1,1,0,0,0,0,0,44.36586208
1,1,0,0,1,1,0,0,1,0,0,-143.5543013
1,0,0,0,1,1,0,1,0,0,0,127.4385038
1,1,1,0,1,0,1,0,1,1,0,134.9638016
1,1,0,1,0,1,1,0,1,1,0,-59.22563748
1,1,1,0,0,1,0,1,0,1,0,-41.77505428
1,1,1,0,1,1,0,0,1,1,0,-140.8436748
1,1,0,1,1,1,0,1,0,0,0,15.44181043
1,1,1,1,1,0,0,1,1,0,0,105.8192008
1,1,0,0,1,1,0,0,0,0,0,-12.61543051
1,1,0,0,1,1,0,1,1,1,0,243.1437788
1,0,0,1,0,1,0,1,1,0,0,-40.05736408
1,1,0,1,0,0,0,0,0,0,0,-117.2712227
1,0,1,1,1,1,1,1,1,0,0,227.459839
1,1,0,1,0,1,0,1,0,0,0,30.8902637
1,0,1,1,0,1,1,0,1,1,0,-2.937716273
1,1,1,1,1,1,1,0,1,0,0,35.72448091
1,0,1,0,0,0,1,0,1,0,0,64.93420719
1,0,0,1,1,1,1,0,1,1,0,95.01034172
1,0,1,0,0,1,0,0,1,1,0,-20.18627579
1,1,1,1,0,1,1,0,1,1,0,-57.36315022
1,1,0,0,1,0,0,0,0,1,0,-48.48466096
1,0,1,0,0,1,1,0,1,1,0,160.1096903
1,0,1,1,1,1,1,1,0,1,0,126.9527211
1,1,0,0,1,0,1,1,0,0,0,222.4880727
1,0,1,0,0,0,1,1,1,0,0,47.39206572
1,0,0,1,0,0,1,0,0,1,0,-35.26237808
1,0,0,0,1,1,0,0,0,0,0,-123.9115853
1,0,1,1,1,1,0,1,1,0,0,149.784558
1,1,1,0,0,1,0,1,1,0,0,1.896944869
1,1,1,1,0,0,0,1,1,0,0,28.81164656
1,0,0,1,1,1,1,0,1,0,0,160.8801329
1,1,1,0,0,1,1,0,0,0,0,-7.82955063
1,1,1,0,0,0,1,0,0,0,0,16.84736304
1,1,1,1,1,1,0,0,0,0,0,36.38834952
1,0,0,0,0,0,1,0,1,0,0,-28.37542691
1,1,1,1,1,0,0,0,1,1,0,59.49173446
1,1,0,1,0,1,0,1,0,0,0,4.942432536
1,0,0,1,1,0,1,0,1,0,0,101.2672683
1,0,0,0,1,1,0,1,1,1,0,208.1616634
1,0,1,0,1,1,0,1,1,1,0,166.3333507
1,0,0,0,0,0,0,0,0,1,0,-216.4805626
1,1,1,0,0,1,0,0,1,1,0,-199.2631073
1,0,1,1,0,0,1,0,0,0,0,-19.88013427
1,0,0,1,0,1,0,1,1,0,0,-261.1038391
1,1,0,1,0,1,1,1,0,0,0,122.3994547
1,1,1,1,1,1,0,1,1,0,0,160.4818302
1,1,1,0,1,1,0,1,1,0,0,122.3658201
1,1,0,1,1,0,0,1,0,1,0,94.31179801
1,1,0,1,0,0,1,1,0,1,0,92.03434874
1,0,0,0,1,0,0,0,0,1,0,-57.30428089
1,0,0,0,1,0,1,1,0,0,0,275.7614416
1,0,1,1,0,0,0,1,0,0,0,-69.66723025
1,0,0,0,1,1,0,0,0,1,0,-105.2385271
1,0,0,1,1,0,1,0,0,1,0,-34.35291431
1,0,0,1,1,1,0,0,1,1,0,-86.9394002
1,1,1,0,0,0,0,0,1,1,0,-195.8557574
1,1,1,1,0,0,0,0,1,1,0,-435.3359841
1,1,0,0,1,0,0,1,1,1,0,78.38144973
1,0,0,1,1,1,0,0,0,0,0,-27.54574904
1,0,1,0,0,1,1,0,0,0,0,20.54095893
1,1,1,0,0,1,1,1,1,1,0,196.0136902
1,1,1,0,0,1,1,0,0,1,0,-235.5327996
1,0,0,0,0,0,0,0,0,1,0,-190.2758109
1,0,0,1,1,1,1,0,0,1,0,162.905324
1,0,1,0,1,0,0,0,1,1,0,-273.1320428
1,1,1,1,1,0,1,1,1,0,0,74.57595495
1,1,1,0,1,1,1,1,1,1,0,291.3199381
1,1,0,1,1,0,1,1,1,0,0,45.91720469
1,0,1,1,0,0,0,0,1,0,0,-184.3341867
1,0,1,1,1,1,1,1,1,0,0,238.2982024
1,1,1,0,1,1,0,1,1,0,0,210.0938883
1,0,0,1,1,0,1,0,1,0,0,0.418764287
1,0,1,1,1,0,0,0,0,1,0,-116.2903075
1,0,0,0,0,1,0,0,0,0,0,-220.0656098
